data;altitude;campanha;direcao_graus;velocidade_km/h
2018-01-15 19:00:00;509.0;;43.49256424122321;5.5371481829548745
2018-01-15 19:00:00;659.0;;18.103763034509747;5.634956699035109
2018-01-15 19:00:00;909.0;;351.3843518158374;6.87558753853066
2018-01-15 22:00:00;509.0;;46.75698830990906;11.877199712053626
2018-01-15 22:00:00;659.0;;36.1420412363741;11.351515934006526
2018-01-15 22:00:00;909.0;;22.44275336529665;10.252510521818577
2018-01-16 02:00:00;509.0;;343.918348043188;11.898617776867999
2018-01-16 02:00:00;659.0;;344.8641644962545;13.017586450644206
2018-01-16 02:00:00;909.0;;348.43002795209946;13.35231234655612
2018-01-16 01:00:00;509.0;;4.885202568119754;12.09493699859587
2018-01-16 01:00:00;659.0;;4.151285266421818;12.805596940400585
2018-01-16 01:00:00;909.0;;6.0823366932844305;12.637138798003333
