,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
170,2018-12-24 01:00:00,2391,PS190106 - PP1,0.0,409,15.4,7.7,14.8,311.8201699,18.38196535,NW,10-20 km/h,5-20 mm
171,2018-12-24 19:00:00,2391,PS190106 - PP1,0.0,412,76.6,8.5111,35.0,270.7117122,16.58427945,W,10-20 km/h,65-80 mm
172,2018-12-24 22:00:00,2391,PS190106 - PP1,2.2,412,76.6,8.5111,35.0,238.4258092,11.60613945,WSW,10-20 km/h,65-80 mm
173,2018-12-25 02:00:00,2391,PS190106 - PP1,2.3,412,76.6,8.5111,35.0,201.0837546,9.162369617,SSW,0-10 km/h,65-80 mm
174,2018-12-25 01:00:00,2391,PS190106 - PP1,2.3,412,76.6,8.5111,35.0,196.9492242,11.30609751,SSW,10-20 km/h,65-80 mm
175,2018-12-25 19:00:00,2391,PS190106 - PP1,0.0,415,13.2,1.65,4.2,268.3070216,20.91813101,W,20-30 km/h,5-20 mm
176,2018-12-25 22:00:00,2391,PS190106 - PP1,0.1,415,13.2,1.65,4.2,255.237383,15.7643847,WSW,10-20 km/h,5-20 mm
177,2018-12-26 02:00:00,2391,PS190106 - PP1,0.5,415,13.2,1.65,4.2,283.3245313,8.044557166,WNW,0-10 km/h,5-20 mm
178,2018-12-26 01:00:00,2391,PS190106 - PP1,0.3,415,13.2,1.65,4.2,268.6360725,8.654452033,W,0-10 km/h,5-20 mm
179,2018-12-27 13:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,320.4923246,15.21892532,NW,10-20 km/h,35-50 mm
180,2018-12-27 19:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,278.4431909,13.32845471,W,10-20 km/h,35-50 mm
181,2018-12-27 22:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,284.0362435,5.945518312,WNW,0-10 km/h,35-50 mm
182,2018-12-28 02:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,341.9657144,4.65783265,NNW,0-10 km/h,35-50 mm
183,2018-12-28 01:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,331.2602047,3.641599923,NNW,0-10 km/h,35-50 mm
184,2018-12-28 04:00:00,2391,PS190106 - PP1,0.0,420,35.2,2.7077,7.4,350.0958168,6.587170106,N,0-10 km/h,35-50 mm
185,2018-12-28 19:00:00,2391,PS190106 - PP1,0.0,421,6.2,6.2,6.2,258.8320056,24.46222895,W,20-30 km/h,5-20 mm
186,2018-12-30 19:00:00,2391,PS190106 - PP1,0.0,424,12.8,6.4,9.6,253.0546766,13.78238532,WSW,10-20 km/h,5-20 mm
187,2018-12-30 22:00:00,2391,PS190106 - PP1,0.0,424,12.8,6.4,9.6,223.3864611,10.34624618,SW,10-20 km/h,5-20 mm
188,2019-01-01 19:00:00,2391,PS190106 - PP1,0.0,426,19.0,9.5,18.8,295.9308065,12.48383795,WNW,10-20 km/h,5-20 mm
189,2019-01-02 19:00:00,2391,PS190106 - PP1,0.0,429,60.8,10.1333,20.0,289.9106261,13.91262754,WNW,10-20 km/h,50-65 mm
190,2019-01-02 22:00:00,2391,PS190106 - PP1,0.8,429,60.8,10.1333,20.0,296.0646641,10.54882937,WNW,10-20 km/h,50-65 mm
191,2019-01-03 02:00:00,2391,PS190106 - PP1,0.9,429,60.8,10.1333,20.0,305.1939072,11.97372231,NW,10-20 km/h,50-65 mm
192,2019-01-03 01:00:00,2391,PS190106 - PP1,1.0,429,60.8,10.1333,20.0,306.173629,11.86647618,NW,10-20 km/h,50-65 mm
193,2019-01-03 22:00:00,2391,PS190106 - PP1,0.3,431,36.0,12.0,25.8,235.0606898,9.172206387,SW,0-10 km/h,35-50 mm
