Amostras;pH;?;Q;T;Li;Na;NH4;K;Mg;Ca;F;CH3COO;CHOO;Cl;NO2;Br;NO3;SO4;CH2(COO)2;C2O4 ;PO4;NH4;NO2;NO3;NID;NOD;NTD;NP;NT;PO4;POD;PTD;PP;PT;COD;CID;CD;HCO3;HCO3;Si;Na;Ca;Mg;K;Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
;;uS cm-1;m3 s-1;  ?C        ;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;ppb;ppb
SM190709;6.5;7.2;0.2;12.2;0.08;26.61;0.10;5.12;6.70;9.18;0.35;2.09;1.03;11.23;0.16;0.12;10.43;14.48;0.01;0.03;0.13;;0.05;;;;;;;0.82;;;;;62.14;26.12;88.25;123;92;91.81;24.94;13.62;13.98;4.29;0.47;0.85;0.002;0.03;0.0021;0.0018;0.01;0.000;0.000;0.004;0.050;0.001;0.002;0.000;0.001;0.00007;0.00008;0.00002;0.00006;0.04;0.01
SM190808;6.3;12.3;0.1;14.5;0.08;35.14;0.90;13.89;10.90;16.27;0.35;1.70;1.84;33.58;0.34;0.14;10.96;8.56;0.25;0.43;0.11;;0.12;;;;;;;0.62;;;;;186.72;9.97;196.69;117;107;32.74;29.06;18.34;19.07;7.36;0.61;2.13;0.001;0.04;0.0014;0.0033;0.01;0.000;0.000;0.007;0.070;0.001;0.002;0.000;0.001;0.00016;0.00017;0.00003;0.00010;0.07;0.01
SM190906;6.2;12.5;0.3;15.5;0.08;12.63;3.90;5.03;5.00;5.94;1.77;2.82;3.01;11.85;0.32;0.03;7.94;1.44;0.01;0.87;0.18;;;;;;;;;;;;;;;;;;;;;;;;0.49;1.84;0.01;;;;;;;;;;;;;;;;;;
SM191008;6.4;11.0;0.1;14.2;0.08;69.77;3.10;22.54;6.30;11.08;0.58;3.60;0.13;40.30;0.35;0.03;12.87;17.19;0.01;2.45;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM191112;6.5;10.0;0.7;20.1;0.08;22.05;1.90;8.89;6.60;9.96;1.88;3.39;0.96;17.54;0.29;0.07;7.96;7.83;0.01;1.03;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM191214;6.5;8.0;0.9;21.0;0.08;14.23;2.90;8.54;2.00;4.34;4.96;3.56;2.37;14.72;0.32;0.03;3.32;10.90;0.01;0.03;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200121 ;6.0;6.4;1.7;16.8;0.08;20.28;0.14;3.87;7.94;9.05;0.32;3.47;1.00;9.41;0.12;0.03;6.55;0.87;0.01;0.60;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200121 (PONTE);6.9;6.6;1.7;17.9;0.08;20.46;4.96;3.84;7.67;8.48;0.28;1.15;0.79;36.30;0.07;0.03;22.92;1.31;0.01;0.39;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (18:00);6.1;6.6;1.5;18.3;0.08;20.81;8.28;4.40;7.79;10.66;0.31;3.99;0.99;42.83;0.07;0.03;21.95;1.33;0.01;1.77;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (20:00);6.2;6.8;2.1;18.3;0.08;20.47;0.74;4.94;7.18;7.45;0.27;2.04;0.85;10.48;0.07;0.03;19.33;1.09;0.01;0.28;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (22:00);6.7;7.0;10.0;18.1;0.08;20.60;3.12;7.28;8.14;9.34;0.32;2.59;0.86;36.67;0.07;0.03;21.02;1.40;0.01;0.88;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200123 (5:30);6.2;7.0;6.6;17.6;0.08;20.48;0.14;4.80;6.40;9.86;0.24;2.41;1.18;34.49;0.07;0.03;18.85;1.30;0.01;0.27;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200124 (15:30);5.6;6.9;48.2;17.9;0.08;17.46;0.14;7.15;8.51;10.86;0.23;2.25;1.12;9.42;0.07;0.03;5.92;1.13;0.01;0.32;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200124 (9:30);6.0;6.6;16.4;17.8;0.08;19.23;0.96;5.52;7.69;17.82;1.92;6.16;0.13;34.86;0.24;0.03;19.08;2.04;0.01;1.99;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200125 (16:30);6.0;6.4;18.6;18.3;0.08;20.54;0.14;4.68;6.03;7.29;0.21;3.39;0.94;33.97;0.23;0.03;19.18;1.11;0.01;0.03;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200218;6.8;7.0;1.4;23.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
